Mo,V
2800.24,1535356.2
2100.1299,1888914.9
2200.1499,2159074.8
2200.1499,2099494.5
2800.24,1531569.0
6101.1201,1335055.9
12804.92,1529229.1
28524.42,1587754.2
25519.551,1791855.2
26120.48,2012944.4
19411.311,3374131.8
15206.94,2138962.2
10403.25,2046920.6
13505.48,2378229.8
14005.89,2189656.0
17008.689,2049287.6
8502.1699,2074810.4
9102.4902,1585292.6
4600.6401,1380312.5
2600.2,944626.5
1900.11,835317.31
1600.08,1000692.0
2600.2,1248708.0
3400.3501,1372251.2
3900.46,1646617.6
6101.1201,1794114.0
12204.47,1784145.8
3500.3701,1810466.5
4200.5298,1851651.9
2500.1899,2076230.6
5000.75,2025847.9
1800.1,1787459.5
3000.27,1557078.2
3400.3501,1975478.5
3000.27,2037398.6
1600.08,2700192.8
3100.29,1702748.8
900.02002,1687383.8
3000.27,2006587.4
700.01001,1502002.1
1500.0699,2011118.5
1800.1,2130008.2
1200.04,1777545.2
2200.1499,1504152.6
3100.29,1529594.2
3400.3501,1921159.9
2600.2,2765467.0
4000.48,2387481.2
3300.3301,2601915.8
5200.8101,2410961.8
6701.3501,1392242.0
4700.6602,1480239.5
2100.1299,1092812.8
1800.1,1262362.8
2100.1299,1607664.0
3200.3101,2215706.5
3800.4299,1969040.4
8001.9199,2445289.5
11904.25,2635648.5
9402.6602,2203303.5
8502.1699,2045635.8
4100.5,2260530.2
6701.3501,1996903.1
7301.6001,2312509.0
11003.64,2409582.0
6401.23,2465266.8
7001.4702,2230300.5
4700.6602,2979347.0
2800.24,2394257.5
2000.12,2175332.5
1900.11,2023927.2
3400.3501,2571862.0
2400.1699,1776084.5
2900.25,1743880.0
1400.0601,2221481.8
2300.1599,1754781.6
2600.2,1929180.5
2600.2,1849298.4
4500.6099,1880988.9
4000.48,2032637.6
2300.1599,2622434.0
5000.75,1585035.6
2400.1699,1883220.6
2800.24,2083777.9
3000.27,2144142.5
2700.22,2255431.0
3100.29,2079436.1
3600.3899,2595680.5
4500.6099,2533976.8
3200.3101,2393784.2
4400.5801,2245029.8
2600.2,2600184.5
2800.24,
4200.5298,2059837.6
3700.4099,2504207.0
2100.1299,1375903.1
2100.1299,1266751.8
2000.12,2085739.1
1300.05,1409379.0
1000.03,1645481.5
3200.3101,1930316.6
3100.29,2492588.5
3800.4299,2535126.5
4600.6401,2378608.5
2300.1599,2577285.8
3400.3501,2082614.6
2900.25,2713840.0
2900.25,3132821.8
2800.24,2369478.8
2100.1299,1950253.4
1700.09,1940028.0
3300.3301,2042673.6
3900.46,2418414.2
1300.05,2042606.0
1600.08,1572024.0
3800.4299,2084765.2
2400.1699,2094449.6
10403.25,1940785.5
7801.8301,1787635.2
9502.71,2045730.4
10803.51,2031149.9
8702.2695,2365069.2
4500.6099,1563016.0
2400.1699,1507709.9
3400.3501,1725404.1
2200.1499,1446736.6
2900.25,2060135.1
2800.24,2060838.5
1600.08,2234331.0
1600.08,2509928.2
2500.1899,1463941.1
2200.1499,1461168.4
1900.11,1367841.9
6001.0801,1586753.4
4800.6899,1412530.4
2900.25,1607636.9
1800.1,2041023.5
1700.09,2675522.0
2500.1899,2320935.5
1800.1,2088322.5
1800.1,2382341.5
1600.08,2168921.5
800.02002,1752279.5
1600.08,1702613.5
1300.05,1375213.4
2200.1499,1709024.6
2900.25,2724944.5
1300.05,2797915.0
2300.1599,2080396.5
2400.1699,1652176.6
1300.05,1636933.2
3000.27,1541632.1
2600.2,1850339.9
5700.98,2124408.8
3800.4299,2154178.5
2900.25,2223267.2
3800.4299,2221306.0
1000.03,1929153.5
4100.5,1979455.1
1300.05,2266211.0
3600.3899,2130319.5
4400.5801,2203601.0
3500.3701,1732004.6
3600.3899,2000528.0
1800.1,2972381.5
3300.3301,2058972.0
1900.11,2275178.2
1700.09,2136487.0
2600.2,2087551.5
3500.3701,1960843.9
2100.1299,1655165.8
3400.3501,1414112.9
2500.1899,1422498.8
2700.22,1407377.1
3300.3301,1167690.4
2900.25,1035272.2
3600.3899,1409297.8
4000.48,1762856.5
4300.5601,1638705.1
7601.7402,1721292.4
4000.48,1891877.0
6701.3501,2084941.1
4000.48,2317432.2
3400.3501,2117213.0
5000.75,1918278.9
5700.98,1819596.2
6401.23,1758149.5
6101.1201,1873793.2
3700.4099,2388955.5
1500.0699,1929748.6
1100.04,1946033.4
4200.5298,2963170.5
7501.6899,2043498.8
5000.75,1940663.8
6101.1201,1734317.5
5500.9102,2708605.5
3000.27,1692956.2
2900.25,2073227.9
1300.05,2600252.2
2000.12,2569332.8
2400.1699,2493346.0
2300.1599,2042065.0
2600.2,2083101.6
2900.25,1792612.8
1400.0601,1789867.0
1500.0699,2036059.6
1000.03,1587253.9
900.02002,2502678.5
1900.11,3003896.0
1600.08,1912016.5
2100.1299,1770309.0
2200.1499,1796711.0
2100.1299,1776828.4
2700.22,2236549.2
6701.3501,1628628.6
5400.8799,2024508.8
8402.1201,1735872.9
15006.76,1506411.5
10803.51,2151919.8
7701.7798,3197149.5
4200.5298,1621649.4
6401.23,1798739.8
3900.46,1715232.9
1900.11,2044147.9
2600.2,1915330.2
2700.22,1775516.4
5000.75,1586131.2
2400.1699,2238713.5
1300.05,1829740.5
2300.1599,1710066.1
3100.29,1679376.6
4100.5,1738158.8
500.01001,208131.62
100.0,36639.41
0.0,1400.0601
0.0,100.0
0.0,200.0
0.0,0.0
0.0,0.0
0.0,0.0
100.0,0.0
600.01001,0.0
7001.4702,2023967.8
6801.3901,2155030.8
7101.5098,2118362.8
7601.7402,2494590.2
7401.6499,2247031.8
7901.8799,2466971.0
5901.0498,2824749.8
5000.75,2526727.0
4500.6099,2358631.2
5100.7798,2162037.0
3800.4299,1894027.5
4800.6899,2108462.0
2500.1899,1722509.6
3400.3501,1765250.5
5901.0498,2027322.1
6001.0801,1781521.8
4900.7202,2190346.0
4300.5601,1983512.8
5801.0098,2339627.8
4300.5601,2255174.0
3200.3101,2512877.0
7001.4702,2069197.2
6201.1602,2300403.5
5100.7798,2002205.1
7201.5601,2142952.2
5500.9102,2872332.8
3800.4299,2196621.8
3500.3701,2230841.5
5100.7798,1718722.5
4200.5298,1978684.1
5801.0098,1775705.8
4100.5,2102903.0
5000.75,1880961.8
4300.5601,2634674.8
4700.6602,2211824.5
5000.75,2133619.8
4200.5298,2194971.8
3900.46,2196527.0
4100.5,1596329.5
3400.3501,1757581.5
3100.29,1751535.5
3900.46,2135256.2
3500.3701,1861403.9
3700.4099,2126343.0
3400.3501,2425123.0
4000.48,2184178.2
5100.7798,1981862.6
5400.8799,1888035.8
6301.1899,2008548.6
4200.5298,1858184.8
7701.7798,2077109.8
3700.4099,2363162.2
3800.4299,2068615.8
3400.3501,1732004.6
4400.5801,2540185.0
4600.6401,1935754.0
4100.5,1869194.5
4500.6099,1673533.5
4900.7202,1948887.2
2400.1699,2022534.0
4000.48,1922363.6
3400.3501,2312860.8
4100.5,2129467.2
4600.6401,2942571.0
4400.5801,2561799.0
3900.46,2477764.5
4100.5,1966632.9
3400.3501,1783131.2
2900.25,1871832.0
1900.11,1600833.5
3700.4099,1540401.2
5600.9399,1572199.9
3600.3899,1983147.6
4500.6099,2064274.0
5200.8101,2172871.0
6901.4302,2112398.0
5000.75,2171153.2
4600.6401,2407431.5
5801.0098,1956583.4
6601.3101,2019788.4
8702.2695,2372305.5
4800.6899,3299010.8
4500.6099,3325277.2
4900.7202,2243677.2
4500.6099,2165093.8
4300.5601,2264736.5
6401.23,3311589.5
4100.5,2116022.8
3600.3899,1935199.4
5700.98,2077515.5
4400.5801,2269687.0
4200.5298,2102024.0
3100.29,1755539.1
4300.5601,2212284.5
2800.24,1927449.2
4200.5298,1617050.8
2800.24,1647848.5
3300.3301,1663484.0
2000.12,1535369.8
3400.3501,1824167.9
2500.1899,1908824.5
2900.25,2411624.5
3300.3301,2098169.0
1200.04,2308816.5
3000.27,2362432.0
2500.1899,2445140.8
2300.1599,2404888.8
2900.25,2252685.2
3500.3701,2808113.2
1800.1,2481254.0
1700.09,2040076.8
3100.29,2951146.2
3700.4099,2381313.5
3400.3501,1859577.9
3300.3301,1995645.2
4300.5601,1332851.2
3700.4099,1494522.5
2200.1499,1884167.4
3400.3501,971285.44
3000.27,1045362.0
4500.6099,1237104.6
19411.311,1469567.8
23917.17,1455961.0
27222.24,1769145.9
,1687491.9
,2059147.8
,1996686.6
,1907093.2
,1637826.0
28724.77,1899275.5
14306.14,1865258.6
8702.2695,1687370.2
7501.6899,1742270.5
5300.8398,2151419.2
4400.5801,1664836.6
3300.3301,1614981.2
3900.46,1795588.4
4500.6099,1959004.4
3800.4299,1514797.4
4700.6602,1475884.2
5400.8799,1428368.9
7201.5601,1584778.6
6401.23,2094936.5
4000.48,1786742.6
2900.25,1887792.2
2600.2,1825763.9
2000.12,2013012.0
3900.46,1977886.1
4800.6899,1582628.1
2200.1499,1881976.2
3000.27,1416006.5
2700.22,1583953.6
3700.4099,1637271.5
3000.27,1418048.9
5901.0498,1770241.4
2200.1499,1726188.6
4500.6099,1565071.9
4800.6899,1547407.5
5600.9399,2196621.8
9302.5996,2288325.2
7201.5601,1956556.2
8902.3799,2385939.2
5500.9102,3074770.0
4900.7202,2146130.8
5700.98,2053940.5
2500.1899,2138042.5
6101.1201,2242879.2
5801.0098,1517516.0
5100.7798,1598114.9
5700.98,1648592.4
2900.25,1584548.8
2100.1299,1747261.5
3000.27,1641477.9
3900.46,1699489.1
2800.24,2067871.8
4500.6099,1955677.1
3100.29,1989788.6
4100.5,2019653.1
2800.24,1789434.2
3000.27,1801323.2
2900.25,1500514.2
1700.09,1419482.5
2000.12,1335799.8
3000.27,1009171.5
2600.2,877145.62
2600.2,1231305.8
2600.2,1549152.2
8402.1201,1625463.6
3400.3501,1745624.9
3600.3899,1693889.5
3300.3301,1935740.4
3200.3101,1632551.0
2800.24,1709944.4
3000.27,1707861.5
3000.27,2102510.8
4200.5298,1762044.9
4100.5,2064057.6
3100.29,2117294.2
5400.8799,1944937.8
4700.6602,1873522.8
3400.3501,2095085.2
4200.5298,2013390.8
4300.5601,1879352.2
3300.3301,2100022.0
3800.4299,1752022.5
3200.3101,2150377.8
2900.25,1837815.2
2700.22,1850137.0
2800.24,1677631.8
4300.5601,2768280.5
3600.3899,1909852.5
2300.1599,1896516.2
3400.3501,1596356.5
2800.24,1837991.0
2700.22,1647672.6
2200.1499,2031704.4
1200.04,1441542.8
2600.2,1359699.5
2100.1299,1730300.4
1100.04,1428950.5
1800.1,1363392.0
3000.27,1481145.6
900.02002,1510347.4
2800.24,1309154.4
2000.12,1530473.5
2400.1699,1754010.8
2300.1599,1715787.4
2900.25,1753632.0
2400.1699,2115414.2
1500.0699,1912016.5
2500.1899,1648457.1
2500.1899,1932643.0
2100.1299,1835515.9
1600.08,1718086.8
1000.03,1899316.0
1700.09,1956786.2
2400.1699,2357035.2
5400.8799,2579044.0
5801.0098,3020153.8
3800.4299,2543269.0
6501.27,2694336.0
4100.5,2278816.8
2600.2,2651649.2
3000.27,1933900.9
1700.09,1892134.0
3100.29,1867679.8
2100.1299,1353234.2
1900.11,1557632.9
2700.22,1394649.6
4100.5,2779628.5
1600.08,1799186.1
1400.0601,1918251.9
2600.2,2432251.0
2200.1499,1648808.8
300.0,1827941.5
1700.09,2045933.2
2400.1699,2195729.0
2200.1499,1837084.9
600.01001,2360890.0
2300.1599,2078435.2
3100.29,2382071.0
4400.5801,1958003.5
5000.75,2077894.2
4200.5298,1969649.0
4500.6099,2164796.0
11103.7,1800782.1
15807.5,1606176.1
20813.01,2270633.8
26120.48,1635161.5
20612.76,1565545.2
27122.08,1096315.9
29325.811,1278611.6
23817.029,1494130.2
12204.47,1146576.9
14606.41,1570603.9
13205.24,1703939.0
16608.279,1458828.5
10103.07,2221847.0
8402.1201,2093097.0
7301.6001,2235291.5
10003.0,1866692.4
9702.8301,2023237.4
5801.0098,1868274.9
5100.7798,2172208.0
4300.5601,2166743.8
2700.22,2027687.2
6601.3101,2084670.6
2100.1299,2509292.5
7101.5098,2034260.8
2600.2,2864812.5
800.02002,2732356.5
1600.08,2258596.0
4000.48,2241567.2
1200.04,1721414.1
1200.04,1562028.6
1500.0699,1505775.8
1500.0699,1980063.8
1200.04,1490194.2
3300.3301,1240146.9
1000.03,1101120.0
1900.11,1427692.6
1400.0601,1246977.2
900.02002,1251072.8
800.02002,1453742.9
2300.1599,1633565.4
2900.25,2082912.2
2200.1499,1927855.0
3200.3101,2182000.8
7401.6499,2792504.8
7701.7798,2192347.8
9302.5996,2800282.0
12404.62,2252212.0
7201.5601,1937498.8
2300.1599,1898396.2
1700.09,2200571.2
2600.2,2433968.8
2400.1699,2335989.2
2400.1699,2099697.5
2300.1599,1987015.9
2200.1499,2238943.2
2500.1899,2093651.5
1700.09,1759718.5
2300.1599,1837571.8
2800.24,2152582.5
1900.11,2109395.2
3000.27,2312563.0
11704.11,2556713.2
4000.48,2706265.8
4300.5601,3224403.5
2500.1899,2152487.8
3900.46,2041578.1
1100.04,1676116.9
2500.1899,1662320.8
1600.08,2136108.2
2700.22,1450550.8
2400.1699,1613723.4
2800.24,1509427.6
1900.11,1940920.8
3000.27,2023413.2
1500.0699,1974369.5
2400.1699,2058647.4
2900.25,1756134.2
4200.5298,1798212.4
5500.9102,2459207.5
8602.2197,2373807.0
6601.3101,2279236.0
6501.27,2919604.5
2000.12,2840872.2
2600.2,2426123.8
4500.6099,3033625.2
4700.6602,2704723.8
3800.4299,2643168.8
4100.5,2442476.2
3600.3899,2692429.0
2600.2,2343482.5
3000.27,2526497.2
2000.12,2247856.8
4500.6099,1753780.8
2500.1899,2056402.1
5600.9399,1293951.6
3800.4299,1537385.0
800.02002,1600387.1
1800.1,1808099.5
2500.1899,1923865.0
2100.1299,2650810.8
1200.04,2230733.2
3100.29,2055523.0
4100.5,2854289.5
2600.2,2779128.0
2900.25,2924135.8
2000.12,2114602.8
2700.22,1776192.6
2000.12,1863892.5
3500.3701,1522777.4
3200.3101,1582912.1
3500.3701,1997958.1
3500.3701,1725106.5
2800.24,2128128.2
2300.1599,2177767.2
2500.1899,2186234.2
2900.25,2707631.8
2200.1499,2426556.8
1600.08,2109449.5
2100.1299,2200125.0
2500.1899,2137893.8
1100.04,1613033.6
1400.0601,1619431.2
1700.09,2134891.0
1000.03,1676035.8
1800.1,1600522.5
1800.1,2269376.0
1800.1,2192483.0
900.02002,1652704.1
1400.0601,1477399.1
2100.1299,1680620.9
1400.0601,1709876.8
1700.09,2032732.4
1000.03,1676887.9
3200.3101,1638110.0
2200.1499,1740079.4
2400.1699,1919076.9
1700.09,2083101.6
1500.0699,2275219.0
2400.1699,1681391.9
3200.3101,1815998.5
1300.05,1821800.9
4100.5,2136054.2
6601.3101,1796075.2
8302.0703,1517543.0
1200.04,1466957.4
2400.1699,1550045.0
3200.3101,1643763.8
4200.5298,1686382.9
5400.8799,1776368.5
4900.7202,2077447.9
4000.48,1974653.5
4300.5601,2362093.8
3900.46,1506627.9
2000.12,1389726.2
3200.3101,1183528.8
2700.22,1164220.5
1600.08,1246451.1
2000.12,2132388.8
700.01001,1311386.1
800.02002,1208987.1
1400.0601,1220035.5
4100.5,1735183.1
2400.1699,1520234.6
3500.3701,1576325.1
4500.6099,1150512.9
700.01001,948315.81
1500.0699,935114.19
1600.08,1086737.9
1500.0699,1178023.8
1700.09,2007033.8
5000.75,1873103.5
8602.2197,1698217.8
5400.8799,2176225.2
9702.8301,2392837.5
12304.55,2596424.5
14506.32,2133268.0
10403.25,2368018.0
6601.3101,2098994.2
6601.3101,2082154.8
6301.1899,1958761.0
6301.1899,2319812.8
2700.22,2741892.0
4000.48,2105527.0
3000.27,2146076.8
1600.08,3526592.0
2000.12,2763735.8
2600.2,3138583.8
2600.2,2882409.2
1400.0601,3242406.0
1600.08,2299321.5
1400.0601,1698204.1
2300.1599,2457800.8
1700.09,1979820.2
4300.5601,2914113.2
9002.4297,1677023.1
10303.19,1772121.5
17509.211,1796846.2
13105.16,1489098.8
4900.7202,1240133.4
1800.1,1480645.2
2300.1599,1180999.5
2000.12,1361376.6
3000.27,1228163.2
3000.27,1497187.0
3000.27,2137109.2
2900.25,2101875.0
1500.0699,1700611.8
3000.27,1727608.8
900.02002,1357968.2
2100.1299,1828983.0
1300.05,2011524.2
3000.27,1687045.6
3600.3899,1707090.5
2200.1499,1695201.5
3500.3701,1826859.5
2800.24,1644034.2
4700.6602,1698366.5
2400.1699,1875348.8
3400.3501,2105391.8
2300.1599,1639733.1
2000.12,1258081.8
4600.6401,1232272.1
2400.1699,1221967.1
3800.4299,1074176.6
3500.3701,1159728.8
3700.4099,1091423.9
7201.5601,1434901.8
0.0,289920.81
0.0,13505.36
0.0,1500.0699
0.0,100.0
0.0,0.0
0.0,100.0
0.0,100.0
0.0,300.0
0.0,0.0
0.0,0.0
0.0,0.0
1400.0601,0.0
5801.0098,1852882.8
5400.8799,1775773.4
4000.48,1889929.2
4600.6401,1659751.0
5200.8101,2221833.5
5600.9399,2252171.2
5400.8799,2060216.4
5600.9399,2623922.0
3800.4299,2442516.8
4300.5601,2052046.9
4400.5801,2118552.2
4800.6899,1842860.2
3200.3101,1993454.0
3700.4099,1967931.2
2300.1599,1902643.4
5200.8101,2440501.5
5801.0098,2659629.5
4800.6899,2296183.5
4500.6099,2065315.5
4800.6899,1981916.8
5500.9102,2275760.0
4600.6401,1680620.9
5200.8101,2369587.0
5100.7798,2302703.0
4800.6899,2530609.0
5600.9399,2562962.2
5801.0098,2562218.2
6001.0801,2404226.0
4700.6602,2284714.0
3800.4299,2019287.9
2700.22,2170152.2
3300.3301,1952999.0
2400.1699,2007223.1
4200.5298,1794628.0
6101.1201,1983174.6
3800.4299,2331390.8
4400.5801,2183786.0
5801.0098,1744664.5
6401.23,2211243.0
6101.1201,2183163.8
3500.3701,2146333.8
4000.48,2091825.6
3500.3701,1873617.4
3600.3899,2330565.5
7101.5098,2448211.0
5801.0098,1920361.9
6901.4302,2417467.5
5600.9399,2155585.2
6101.1201,2271039.5
5801.0098,2189737.2
5801.0098,2129345.5
4600.6401,2703384.8
5100.7798,2384451.5
4500.6099,2418806.5
4600.6401,2278451.5
5100.7798,2095247.6
4400.5801,2093313.4
4300.5601,1941921.6
4800.6899,2621041.0
6201.1602,1953715.9
4000.48,2313469.2
4200.5298,1929545.8
4700.6602,1608380.8
4600.6401,1639841.2
3100.29,1766062.0
3800.4299,1642059.5
3500.3701,1587064.5
2900.25,1887237.6
3700.4099,1684056.4
1900.11,1329672.8
3400.3501,1486569.4
3300.3301,1506871.4
2700.22,1840980.2
2900.25,1801228.5
3000.27,2117551.2
5400.8799,2234993.8
5100.7798,2288230.5
4100.5,2024319.4
7101.5098,2449387.8
6901.4302,2399356.8
7001.4702,2577366.8
6601.3101,2526456.5
7201.5601,2658466.2
5000.75,2240864.0
5700.98,1952133.4
5801.0098,1854532.9
9702.8301,1722901.9
4500.6099,1823004.8
4000.48,1778492.0
3600.3899,2463305.8
3500.3701,2149404.0
5400.8799,2241026.2
4600.6401,2450280.5
6101.1201,2714529.8
7001.4702,2664322.8
5000.75,2651500.5
4500.6099,2828658.5
3600.3899,2441259.0
3800.4299,2163308.2
3700.4099,1909636.0
2500.1899,2421430.5
2700.22,3045162.5
2300.1599,2077502.0
3300.3301,2271553.5
3700.4099,2002218.6
4000.48,1626559.1
3100.29,1651175.8
3300.3301,1411015.5
3300.3301,1708213.1
2700.22,1504436.8
1300.05,1599548.6
3700.4099,1737293.1
3300.3301,2087997.9
2400.1699,1852341.8
2700.22,1826196.8
3100.29,2183231.5
2400.1699,1741634.8
2700.22,1354776.1
3100.29,1511402.4
3700.4099,1263965.5
4600.6401,1969635.5
8202.0195,1381989.6
10303.19,1615278.9
24618.189,1894487.4
,1873603.9
,1399315.9
,1412111.1
,1635945.9
,1751048.6
,2248316.5
9702.8301,1914356.5
6201.1602,1429586.1
3000.27,1499229.4
2500.1899,1523534.9
3500.3701,1433752.0
2600.2,1813496.2
1900.11,1529513.1
2900.25,1720102.1
3000.27,1565626.5
1900.11,1285998.6
4100.5,1379717.4
2100.1299,1764019.6
3200.3101,1850367.0
3900.46,1741350.8
2000.12,1870493.0
3800.4299,1766116.1
4600.6401,1838288.6
3900.46,1799957.1
4700.6602,1702329.5
3200.3101,1644345.4
3900.46,1523791.9
3300.3301,1673208.9
3800.4299,1709416.9
3300.3301,2104634.2
3900.46,1855953.0
3600.3899,1830700.8
1500.0699,2439040.8
4000.48,2202221.5
3800.4299,2357441.0
7701.7798,2220021.0
11003.64,2282942.0
9202.54,3071375.2
5200.8101,2483147.8
5400.8799,1891592.9
3400.3501,2166338.0
7901.8799,1733708.9
3300.3301,1928883.0
3500.3701,1794087.0
2100.1299,1742378.8
2300.1599,1731882.9
2000.12,1911191.5
3100.29,1545608.6
4200.5298,1607853.2
5100.7798,2233019.2
4400.5801,2011280.8
3100.29,1912003.0
3300.3301,1983485.8
2300.1599,2106514.5
2400.1699,1709254.6
2300.1599,1369505.5
2100.1299,1309736.0
2900.25,1638894.5
4200.5298,1611410.5
2500.1899,1673452.4
1800.1,2126545.8
1700.09,1980266.6
3900.46,2289136.8
2200.1499,1516366.2
3200.3101,1367003.2
4400.5801,1386845.4
2900.25,1775435.2
4100.5,2006966.1
3600.3899,1862824.0
3500.3701,1708280.8
2900.25,1818690.0
2200.1499,1465077.2
4600.6401,1910948.0
3100.29,1864609.4
1400.0601,1684137.6
2100.1299,2337220.2
2400.1699,2058917.9
3800.4299,2113858.8
4100.5,2098953.5
5000.75,2272338.0
4000.48,2434347.5
2900.25,2591325.2
2900.25,1949631.1
2600.2,1869289.2
1800.1,1642438.2
4600.6401,1932359.0
7701.7798,1726418.5
9802.8896,1854357.0
